DATE,CCSA
2014-04-19,2767000
2014-04-26,2707000
2014-05-03,2702000
2014-05-10,2691000
2014-05-17,2657000
2014-05-24,2646000
2014-05-31,2641000
2014-06-07,2598000
2014-06-14,2595000
2014-06-21,2583000
2014-06-28,2579000
2014-07-05,2540000
2014-07-12,2528000
2014-07-19,2542000
2014-07-26,2524000
2014-08-02,2530000
2014-08-09,2508000
2014-08-16,2517000
2014-08-23,2483000
2014-08-30,2486000
2014-09-06,2452000
2014-09-13,2465000
2014-09-20,2447000
2014-09-27,2427000
2014-10-04,2441000
2014-10-11,2409000
2014-10-18,2437000
2014-10-25,2406000
2014-11-01,2436000
2014-11-08,2384000
2014-11-15,2351000
2014-11-22,2389000
2014-11-29,2484000
2014-12-06,2381000
2014-12-13,2379000
2014-12-20,2338000
2014-12-27,2422000
2015-01-03,2381000
2015-01-10,2400000
2015-01-17,2336000
2015-01-24,2335000
2015-01-31,2297000
2015-02-07,2344000
2015-02-14,2319000
2015-02-21,2341000
2015-02-28,2357000
2015-03-07,2361000
2015-03-14,2361000
2015-03-21,2306000
2015-03-28,2278000
2015-04-04,2273000
2015-04-11,2320000
2015-04-18,2279000
2015-04-25,2254000
2015-05-02,2261000
2015-05-09,2253000
2015-05-16,2258000
2015-05-23,2236000
2015-05-30,2294000
2015-06-06,2250000
2015-06-13,2268000
2015-06-20,2265000
2015-06-27,2312000
2015-07-04,2233000
2015-07-11,2226000
2015-07-18,2267000
2015-07-25,2253000
2015-08-01,2257000
2015-08-08,2247000
2015-08-15,2256000
2015-08-22,2252000
2015-08-29,2258000
2015-09-05,2243000
2015-09-12,2255000
2015-09-19,2234000
2015-09-26,2240000
2015-10-03,2207000
2015-10-10,2214000
2015-10-17,2194000
2015-10-24,2218000
2015-10-31,2205000
2015-11-07,2209000
2015-11-14,2185000
2015-11-21,2181000
2015-11-28,2259000
2015-12-05,2242000
2015-12-12,2190000
2015-12-19,2176000
2015-12-26,2207000
2016-01-02,2218000
2016-01-09,2190000
2016-01-16,2221000
2016-01-23,2199000
2016-01-30,2195000
2016-02-06,2200000
2016-02-13,2203000
2016-02-20,2178000
2016-02-27,2171000
2016-03-05,2186000
2016-03-12,2163000
2016-03-19,2147000
2016-03-26,2169000
2016-04-02,2157000
2016-04-09,2145000
2016-04-16,2140000
2016-04-23,2146000
2016-04-30,2188000
2016-05-07,2190000
2016-05-14,2184000
2016-05-21,2191000
2016-05-28,2138000
2016-06-04,2172000
2016-06-11,2165000
2016-06-18,2167000
2016-06-25,2132000
2016-07-02,2144000
2016-07-09,2134000
2016-07-16,2144000
2016-07-23,2137000
2016-07-30,2147000
2016-08-06,2159000
2016-08-13,2141000
2016-08-20,2152000
2016-08-27,2140000
2016-09-03,2154000
2016-09-10,2113000
2016-09-17,2101000
2016-09-24,2086000
2016-10-01,2083000
2016-10-08,2086000
2016-10-15,2071000
2016-10-22,2071000
2016-10-29,2065000
2016-11-05,2027000
2016-11-12,2057000
2016-11-19,2071000
2016-11-26,2038000
2016-12-03,2029000
2016-12-10,2032000
2016-12-17,2074000
2016-12-24,2087000
2016-12-31,2060000
2017-01-07,2023000
2017-01-14,2062000
2017-01-21,2025000
2017-01-28,2035000
2017-02-04,2012000
2017-02-11,2032000
2017-02-18,1995000
2017-02-25,2033000
2017-03-04,1986000
2017-03-11,1977000
2017-03-18,2005000
2017-03-25,2018000
2017-04-01,1991000
2017-04-08,1977000
2017-04-15,1979000
2017-04-22,1995000
2017-04-29,1929000
2017-05-06,1943000
2017-05-13,1941000
2017-05-20,1951000
2017-05-27,1941000
2017-06-03,1960000
2017-06-10,1962000
2017-06-17,1958000
2017-06-24,1970000
2017-07-01,1947000
2017-07-08,1975000
2017-07-15,1966000
2017-07-22,1965000
2017-07-29,1952000
2017-08-05,1950000
2017-08-12,1958000
2017-08-19,1953000
2017-08-26,1953000
