DATE,UNRATE
2016-06-30,4.8
2016-07-31,4.9
2016-08-31,5
2016-09-30,4.9
2016-10-31,4.7
2016-11-30,4.7
2016-12-31,4.7
2017-01-31,4.6
2017-02-28,4.4
2017-03-31,4.5
2017-04-30,4.4
2017-05-31,4.3
2017-06-30,4.3
2017-07-31,4.4
2017-08-31,4.2
2017-09-30,4.1
2017-10-31,4.2
2017-11-30,4.1
2017-12-31,4
2018-01-31,4.1
2018-02-28,4
2018-03-31,4
2018-04-30,3.8
2018-05-31,4
2018-06-30,3.8
2018-07-31,3.8
2018-08-31,3.7
2018-09-30,3.8
2018-10-31,3.8
2018-11-30,3.9
2018-12-31,4
2019-01-31,3.8
2019-02-28,3.8
2019-03-31,3.7
2019-04-30,3.7
2019-05-31,3.6
2019-06-30,3.6
2019-07-31,3.7
2019-08-31,3.5
2019-09-30,3.6
2019-10-31,3.6
2019-11-30,3.6
2019-12-31,3.5
2020-01-31,3.5
2020-02-29,4.4
2020-03-31,14.8
2020-04-30,13.3
2020-05-31,11.1
2020-06-30,10.2
2020-07-31,8.4
2020-08-31,7.8
2020-09-30,6.9
2020-10-31,6.7
2020-11-30,6.7
